"MLBAMID","Name"
447736,"Chris Dickerson"
118305,"Eli Marrero"
663743,"Nick Fortes"
452035,"Kyle Blanks"
628451,"Andy Ibáñez"
592200,"Curt Casali"
571431,"Matt Adams"
519390,"Stephen Vogt"
664774,"LaMonte Wade Jr."
595751,"Jorge Alfaro"
676914,"Davis Schneider"
571980,"Tyler Naquin"
805779,"Jacob Wilson"
681546,"James Outman"
111736,"Ellis Burks"
453400,"Chris Johnson"
294558,"Xavier Nady"
623168,"Tyler Heineman"
669707,"Jared Triolo"
492706,"Kenji Johjima"
425547,"Brad Hawpe"
456124,"Erik Kratz"
114924,"Alex Gonzalez"
596748,"Maikel Franco"
690993,"Colt Keith"
425772,"Jeff Mathis"
449786,"Carlos Corporán"
430828,"Chris Shelton"
150302,"Jason Marquis"
671277,"Luis García Jr."
451596,"Yovani Gallardo"
669003,"Garrett Mitchell"
678009,"Parker Meadows"
628338,"Guillermo Heredia"
112297,"Jeff Cirillo"
112106,"Vinny Castilla"
150148,"Rod Barajas"
666149,"Tyler Fitzgerald"
573131,"Darin Ruf"
501983,"Travis Snider"
431157,"Joey Gathright"
113240,"David Dellucci"
614177,"Franmil Reyes"
407792,"Alfredo Amezaga"
408219,"Chris Duncan"
400158,"Jay Gibbons"
621002,"Daniel Robertson"
115817,"Livan Hernandez"
425661,"Ronny Paulino"
150167,"Shea Hillenbrand"
669743,"Alex Call"
668709,"JJ Bleday"
111234,"Mike Bordick"
115399,"Mike Hampton"
114485,"Brad Fullmer"
663698,"Joey Bart"
686948,"Drake Baldwin"
425497,"Nook Logan"
623520,"David Bote"
452249,"Micah Owings"
456488,"Eduardo Núñez"
594824,"Greg Garcia"
425556,"Laynce Nix"
608671,"Travis Jankowski"
123609,"Javier Valentin"
275928,"Luis Matos"
543108,"Andy Dirks"
500874,"José A. Martínez"
663368,"Blake Perkins"
116747,"Brian Jordan"
407496,"Ramón Vázquez"
452239,"Justin Maxwell"
546991,"Albert Almora Jr."
669065,"Kyle Stowers"
112559,"Jeff Conine"
502190,"Mike Leake"
430632,"Willy Aybar"
400140,"Wilson Betemit"
543592,"Austin Nola"
408039,"So Taguchi"
608700,"Kevin Plawecki"
150286,"Mike Lamb"
679032,"Johan Rojas"
679529,"Spencer Torkelson"
501303,"Ehire Adrianza"
542921,"Tim Beckham"
458913,"Eric Young Jr."
641645,"Luis Guillorme"
132788,"Kevin Millar"
666018,"Jonathan Aranda"
119732,"Phil Nevin"
400292,"Hee-Seop Choi"
671218,"Heliot Ramos"
666185,"Dylan Carlson"
608701,"Rob Refsnyder"
544725,"Leury García"
700250,"Ben Rice"
571718,"Brian Goodwin"
694497,"Evan Carter"
433582,"Conor Jackson"
116569,"Charles Johnson"
150482,"Josh Phelps"
408305,"Jorge Cantu"
672761,"Wenceel Pérez"
459941,"Travis Buck"
594798,"Jacob deGrom"
701350,"Roman Anthony"
121616,"Olmedo Saenz"
691016,"Tyler Soderstrom"
407801,"Marcus Thames"
663616,"Trevor Larnach"
120747,"Todd Pratt"
695657,"Colson Montgomery"
665966,"Carlos Narváez"
663611,"Nick Madrigal"
702332,"Caleb Durbin"
518953,"David Lough"
277409,"Jared Sandberg"
666134,"Nolan Jones"
572114,"Ryan Schimpf"
460131,"Brian Bogusevic"
136300,"Vance Wilson"
285131,"Cesar Izturis"
421064,"Ty Wigginton"
572204,"Trayce Thompson"
407777,"Ben Broussard"
571437,"Aaron Altherr"
641786,"Kyle Lewis"
283051,"Johnny Estrada"
808982,"Jung Hoo Lee"
461882,"Jesus Guzman"
429717,"Dan Haren"
454560,"A.J. Ellis"
663898,"Brendan Rodgers"
664770,"Nathan Lukes"
669357,"Nolan Gorman"
489413,"Casper Wells"
212297,"Julio Franco"
446928,"Joe Inglett"
594988,"Scott Schebler"
434705,"Jason Repko"
111867,"Miguel Cairo"
113702,"Damion Easley"
122989,"B.J. Surhoff"
621028,"Kevin Newman"
133342,"Ricky Ledee"
686555,"Isaac Collins"
425557,"Jeff Baker"
664874,"Seby Zavala"
407835,"Jason Lane"
452668,"Elijah Dukes"
668901,"Mark Vientos"
460055,"John Mayberry Jr."
433597,"Mark Teahen"
543105,"Alex Dickerson"
460269,"Chris Gimenez"
117501,"Barry Larkin"
656582,"Connor Joe"
119616,"Greg Myers"
236427,"Frank Menechino"
276523,"Tike Redman"
121663,"Rey Sanchez"
671213,"Triston Casas"
284566,"Adam Eaton"
605509,"Kelby Tomlinson"
133226,"Mike Redmond"
348562,"Keith Ginter"
407397,"Esteban German"
467798,"Jose Tabata"
570799,"Christian Villanueva"
543590,"Kirk Nieuwenhuis"
683146,"Brett Baty"
133460,"Russ Ortiz"
693304,"Nick Gonzales"
805300,"Jakob Marsee"
137002,"Gabe Kapler"
666624,"Christopher Morel"
115174,"Marquis Grissom"
694384,"Nolan Schanuel"
150116,"Randy Wolf"
122918,"Chris Stynes"
669261,"Jack Suwinski"
124185,"Rondell White"
450204,"Ben Francisco"
605548,"Bradley Zimmer"
665804,"Miguel Amaya"
464433,"Juan Francisco"
640461,"Chad Pinder"
595909,"Jake Cave"
456655,"Ian Stewart"
475243,"Travis Wood"
608577,"Nomar Mazara"
118730,"Fred McGriff"
440361,"Norris Hopper"
686780,"Pedro Pagés"
115135,"Ken Griffey Jr."
324432,"Augie Ojeda"
669374,"Keston Hiura"
407840,"Brandon Backe"
